Case #1
50 31
46 50
48 46
48 48
46 48
46 46
45 46
50 45
44 50
50 44
44 50
50 44
47 50
47 47
49 47
49 49
43 49
49 43
43 49
49 43
39 49
47 39
44 47
46 44
44 46
48 44
43 48
44 43
46 44
45 46
41 45
46 41
42 46
44 42
43 44
43 43
43 43
42 43
41 42
44 41
37 44
45 37
40 45
43 40
40 43
46 40
39 46
42 39
39 42
48 39
38 48
50 38
34 50
44 34
38 44
42 38
40 42
40 40
43 40
37 43
42 37
37 42
46 37
31 46
50 31
36 50
47 36
35 47
49 35
28 49
46 28
36 46
45 36
36 45
48 36
33 48
44 33
33 44
45 33
30 45
50 30
27 50
46 27
32 46
44 32
31 44
48 31
29 48
45 29
30 45
44 30
27 44
50 27
25 50
44 25
26 44
46 26
21 46
46 21
22 46
44 22
36 44
40 36
41 40
39 41
39 39
39 39
41 39
38 41
41 38
34 41
43 34
27 43
43 27
31 43
41 31
35 41
42 35
33 42
40 33
32 40
40 32
37 40
39 37
38 39
35 38
39 35
36 39
33 36
39 33
27 39
39 27
32 39
42 32
26 42
43 26
25 43
42 25
28 42
40 28
28 40
41 28
26 41
41 26
31 41
36 31
28 36
40 28
26 40
39 26
25 39
49 25
20 49
49 20
24 49
50 24
16 50
49 16
19 49
46 19
23 46
39 23
30 39
47 30
24 47
43 24
22 43
39 22
26 39
36 26
25 36
40 25
29 40
45 29
21 45
43 21
21 43
47 21
20 47
47 20
16 47
47 16
17 47
46 17
17 46
46 17
20 46
45 20
20 45
43 20
20 43
41 20
21 41
44 21
19 44
45 19
17 45
43 17
18 43
41 18
21 41
39 21
22 39
48 22
15 48
50 15
9 50
50 9
7 50
48 7
12 48
47 12
14 47
45 14
15 45
46 15
12 46
46 12
11 46
49 11
8 49
49 8
8 49
49 8
10 49
47 10
7 47
49 7
6 49
48 6
4 48
47 4
4 47
49 4
5 49
45 5
10 45
46 10
13 46
43 13
24 43
38 24
21 38
39 21
22 39
42 22
16 42
42 16
14 42
42 14
16 42
41 16
19 41
40 19
20 40
39 20
32 39
35 32
33 35
37 33
34 37
31 34
35 31
30 35
34 30
33 34
26 33
33 26
30 33
37 30
21 37
38 21
27 38
31 27
30 31
34 30
32 34
32 32
24 32
36 24
21 36
33 21
21 33
38 21
19 38
37 19
16 37
44 16
12 44
44 12
12 44
44 12
11 44
43 11
15 43
41 15
17 41
38 17
15 38
37 15
17 37
40 17
13 40
40 13
13 40
42 13
10 42
42 10
10 42
44 10
9 44
44 9
8 44
44 8
8 44
42 8
12 42
41 12
14 41
39 14
29 39
30 29
26 30
31 26
24 31
30 24
27 30
35 27
28 35
27 28
35 27
23 35
30 23
23 30
30 23
21 30
36 21
13 36
39 13
12 39
39 12
20 39
33 20
17 33
35 17
15 35
33 15
17 33
32 17
20 32
30 20
24 30
28 24
29 28
