,authorId,id,reference,title,createdAt,publishedAt,updatedAt,trashed,trashedStatus,authorType,authorZipCode,QUXVlc3Rpb246MTYw - Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,QUXVlc3Rpb246MTYx - Que faudrait-il faire selon vous pour apporter des réponses à ce problème ?,QUXVlc3Rpb246MTQ2 - Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?,"QUXVlc3Rpb246MTQ3 - Si oui, de quelle manière votre vie quotidienne est-elle touchée par le changement climatique ?","QUXVlc3Rpb246MTQ4 - À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?","QUXVlc3Rpb246MTQ5 - Si oui, que faites-vous aujourd'hui pour protéger l'environnement et/ou que pourriez-vous faire ?","QUXVlc3Rpb246MTUw - Qu'est-ce qui pourrait vous inciter à changer vos comportements comme par exemple mieux entretenir et régler votre chauffage, modifier votre manière de conduire ou renoncer à prendre votre véhicule pour de très petites distances ?",QUXVlc3Rpb246MTUx - Quelles seraient pour vous les solutions les plus simples et les plus supportables sur un plan financier pour vous inciter à changer vos comportements ?,"QUXVlc3Rpb246MTUy - Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?","QUXVlc3Rpb246MTUz - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à changer de mode de chauffage ?","QUXVlc3Rpb246MTU0 - Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?","QUXVlc3Rpb246MTU1 - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à utiliser ces solutions alternatives ?","QUXVlc3Rpb246MjA3 - Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",QUXVlc3Rpb246MTU3 - Et qui doit selon vous se charger de vous proposer ce type de solutions alternatives ?,QUXVlc3Rpb246MTU4 - Que pourrait faire la France pour faire partager ses choix en matière d'environnement au niveau européen et international ?,QUXVlc3Rpb246MTU5 - Y a-t-il d'autres points sur la transition écologique sur lesquels vous souhaiteriez vous exprimer ?,Region
0,VXNlcjo0M2Q4YzZmYy0yNGJiLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6Y2I4NjI2ODktMzAyOS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-68094,Gratuité des transports en commun,2019-02-14 08:26:07,2019-02-14 08:26:07,,False,,Citoyen / Citoyenne,20000, pollution air, favoriser transport commun aider agglomeration faire choix gratuité transport commun gratuité parking peri urbain,,,,,,,,,,,,,,,Corse
1,VXNlcjo0MDZmYjUwZi0xZGQ0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MGZkOTE0MTktMjMwZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-32900,transports en commun,2019-01-28 16:04:51,2019-01-28 16:04:51,,False,,Citoyen / Citoyenne,20000, pollution air, vehicules centrale,Oui, grand ville poluées,Oui, acheter vehicule essence, prendre vehicule cas necessité, tarif gratuit moindre cout transports commun,Non,,Non,, transports commun, regions,,,Corse
2,VXNlcjo0MGU4N2QyYy0yOTYzLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MTM3YjEyN2QtMjk2OC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-53643,Protégeons mieux l’environnement,2019-02-05 18:04:19,2019-02-05 18:04:19,,False,,,20000,, faire payer ppollueurs,Oui, augmentation température saison marquer augmentation phénomène risquer croire tempêter inondation vent,Oui, tri déchet éviter gaspillage,, faire payer ordure ménagère poids developper transports commun,Oui, donner aide,Non,, transports commun|le vélo|le covoiturage, collectivité locale, falloir,,Corse
3,VXNlcjo0MjY5NDliYi0yMzJkLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6YjIyYWE4NWEtMjU2MS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-40856,Le grand leurre,2019-01-31 15:08:34,2019-01-31 15:08:34,,False,,Citoyen / Citoyenne,20000, pollution eau, arrêter déverser autant produire toxique provenir industrie agriculture échelle nationale ainsi peser politiquement pays utiliser rivière océan décharge,Oui, culture potager bio nécessiter augmentation consommation eau arrosage,Oui, utiliser chauffage grâce changement climatique adopter conduite souple limiter consommation carburer, qualité retraiter baisse pouvoir achat inciter envisager possibilité économie long terme, économie citoyenneté résoudre lancer évolution technologiques onéreuses véhiculer prétexter changement climatique cyclique lier principalement variation exposition rayonnement solaire créer modification orbite terre soleil,Oui, baisse continuelle pouvoir achat empêcher penser changer mode chauffage,Non, habiter zone rurale utilisation véhicule personnel obligatoire activité, transports commun|le transport demande, conseil régional, actuellement faux router choix politiquer adéquation réalité scientifique, transition écologique leurre diriger lobby financier,Corse
4,VXNlcjo0N2JhM2JhYi0xZTdjLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6N2RkMWQ5YWItMWU4MC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-6147,Projet 100% eco corse,2019-01-22 21:01:22,2019-01-22 21:01:22,,False,,Citoyen / Citoyenne,20000, dérèglement climatiques croire sécheresse, favoriser circuit courir marchandise devoir déplacées,Oui, subir chaleur intense cru importantes autonome exemple magasin inonder,Oui, acheter local économie responsable tri mode faut consommation, facilité jour service simple proposer porrait adhérer naturellement, encouragement fiscal système chauffage différence coût local distant mobilité partager simple accès travers application exemple,Non,,Non,, auto partage|le transport demande|le vélo, société priver état actionnaire, montrer exemple développement fort solution locale renouvelable production locale solaire pomper chaleur isolation logement énergie mobilité repenser forcément différente suivre site voiture partager transport commun grand métropole voiture individuel covoiturage zone rurale incitation fiscale forte alimentaire circuit courir voir fruit légume venir bouillir planète cher bon proposer locaux, souhaiter corse laboratoire écologique france endroit idéal tester modèle autonome local insularité besoin autonomie énergétique forte envier habitant respecter préserver qualité site dimension terme population  habiter permettre voir politique comportementale paraître appliquer facilement reproductible,Corse
5,VXNlcjo0NTU3YzVhNC0xZWVkLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NjkxYjQ5ODktMWVlZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-8434,ECOLOGIE PUNITIVE,2019-01-23 10:08:12,2019-01-23 10:08:12,,False,,Citoyen / Citoyenne,20000, pollution air, mettre côté pollution zone encaisser lier notamment feu boire ancien micro particule,Non,,Oui, trier efficacement possible, aide, aide,, aide,Non,, zoner rurale isoler utopie,,,,Corse
6,VXNlcjo0NjM2NTE5Ny0yNTdkLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6YjNjZGI2YWMtMzlhYS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-89791,et le ferroutage ??,2019-02-26 10:41:33,2019-02-26 10:41:33,,False,,Citoyen / Citoyenne,20000, pollution chaine alimentaire, permettre importation produire agricoles alimentaires traçables répondre contrainte réglementaires strictes prudent,Oui, température anormalement élever hiver sécheresse,Non, covoiturage déplacement, réelles pister cyclables zoner urbaine, favoriser economie circulaire ; étendre circuit courir distribution alimentaire,Non, optimisation mode chauffage faire subvention,Je n'utilise pas la voiture pour des déplacements quotidiens, diminuer cout transports commun croire beaucoup vite inflation, transports commun|le vélo|le covoiturage,, imposer norme alimentaires produire importer, question majeure aborder pollution atmosphérique grand partie générer transport routier ; quid ferroutage production énergie impact carbone france voisins ppe commenter production énergie renouvelable comment pouvoir envisager vendre concession exploitation barrage hydraulique patrimoine état entreprise priver étranger,Corse
7,VXNlcjo0ODNjM2IxZS0xZDcyLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6YzgxMTY3ZjAtMWZlNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-17296,Transports en région sans transports en commun...,2019-01-24 15:38:57,2019-01-24 15:38:57,,False,,Citoyen / Citoyenne,20000, impossible répondre  problème questionnaire problème, donner priorité écologie profit,Oui, besoin climatisation voiturer maison nouveau,Non, limiter propre pollution sentir état protéger pouvoir faire sufisant, région transports commun navette année possible servir voiture cas, transports public,Non, pompe chaleur convenir,Non, transports public question, transports commun|le covoiturage|l auto partager, région département commune mot service public transports région corser inexistants uniquement symbolique état grand générosité détaxer carburant  tva final carburant cher france émouvoir état région complice arnaquer, avoir horizon nucléaire, protéger zone agricoles donner priorité qualité agricole projet betonneurs,Corse
8,VXNlcjo0ODk2YTk0NS0xZTQ1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6Yzc4MDYyMGQtMWU0OC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-2486,Qui sont vraiment les gros pollueurs,2019-01-22 14:22:34,2019-01-22 14:22:34,2019-01-22 14:40:51,False,,Citoyen / Citoyenne,20000, dérèglement climatiques croire sécheresse, solution pouvoir mondiales gros pollueur sanctionner,Non,,Oui, voiture réserver long déplacement trier déchet faire attention consommation énergie essayer faire attention emballage faire course, marcher beaucoup chauffer nécessaire,,Non, difficile immeuble,Je n'utilise pas la voiture pour des déplacements quotidiens,,,, taxer davantage poids lourd étranger traverser france bateau croisière ferry transiter port importation produire consommation polluer,,Corse
9,VXNlcjo0OTc5OWIwMy0xZTYzLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ODIxMzFhODUtMWU2Ni0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-4512,Changement,2019-01-22 17:55:22,2019-01-22 17:55:59,,False,,Citoyen / Citoyenne,20000, planète unique ridicule vouloir séparer problème lier problème global solution pouvoir globale, sortir nucléaire obligation poser chauffer eau solaire panneau solaire éolien habitat particulier collectif miser placer centrale vaguer coût démantèlement centrale nucléaire charge pouvoir éviter assumer servir reporter dépense prochain mandat dédouaner courir terme coût maintenir fonctionnement an centrale arriver fin vie  edf  agence nationale sûreté atomique pouvoir servir transition énergétique ajouter coût écologique limiter savon sécuriser déchet moyen long terme rappeler durée vie iode   année construction rénovation résultat étude thermique devoir primer prescription bâtiment france considération esthétique effet prescription souvent contraire demander construction coût écologique faible limitation dimension fenêtre impliquer construction énergivore interdiction panneau chauffer eau solaire éolien favoriser utilisation électricité produire centrale fonctionner grâce nucléaire énergie fossile demande utiliser matériau lourd produire localement pierre augmenter empreinte carbone construction transition forte agriculture raisonner avoir impact positif santé consommateur transition réduire inégalité agriculteur favoriser production locale préserver environnement pollution nappe phréatiques impact faune niveau international avoir excédent permettre d‘éviter déstabiliser économie pays agriculture fragile légalisation vente semence ancien libre droit contrairement voter conseil constitutionnel utilisation vente moment processus utilisation semence ancien offrir diversité choix surtout permettre agriculteur rompre dépendance grainetier fin utilisation fuel résiduel fortement producteur souffrir activité humaines polluantes industrie estimer  gaz effet serrer production industriel fuel résiduel servir surtout navire transport croisière aller inverse principe économie locale circuit courir centrale thermique utilisent choix utilisation détriment énergie renouvelables,Oui, événement climatiques violer marquer tempêter inondation fréquenter,Oui, tri ordure ménagère ramassage détritus nature choix consommation favoriser bio local, chauffage énergie simplement avoir droit installer panneau solaire coût réduire transports prix horaire correspondre activité revenu, réduire coût habitat ville avoir fiscalité favoriser énergie verte,Oui, favoriser installation panneau solaire collectif,Non,, transports commun|le covoiturage, transports commun marge horaire étendre permettre utiliser régie élargirent possible covoiturage organiser personne horaire, commencer initiative réel changement exemple vouloir suivre,,Corse
