,authorId,id,reference,title,createdAt,publishedAt,updatedAt,trashed,trashedStatus,authorType,authorZipCode,QUXVlc3Rpb246MTYw - Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,QUXVlc3Rpb246MTYx - Que faudrait-il faire selon vous pour apporter des réponses à ce problème ?,QUXVlc3Rpb246MTQ2 - Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?,"QUXVlc3Rpb246MTQ3 - Si oui, de quelle manière votre vie quotidienne est-elle touchée par le changement climatique ?","QUXVlc3Rpb246MTQ4 - À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?","QUXVlc3Rpb246MTQ5 - Si oui, que faites-vous aujourd'hui pour protéger l'environnement et/ou que pourriez-vous faire ?","QUXVlc3Rpb246MTUw - Qu'est-ce qui pourrait vous inciter à changer vos comportements comme par exemple mieux entretenir et régler votre chauffage, modifier votre manière de conduire ou renoncer à prendre votre véhicule pour de très petites distances ?",QUXVlc3Rpb246MTUx - Quelles seraient pour vous les solutions les plus simples et les plus supportables sur un plan financier pour vous inciter à changer vos comportements ?,"QUXVlc3Rpb246MTUy - Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?","QUXVlc3Rpb246MTUz - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à changer de mode de chauffage ?","QUXVlc3Rpb246MTU0 - Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?","QUXVlc3Rpb246MTU1 - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à utiliser ces solutions alternatives ?","QUXVlc3Rpb246MjA3 - Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",QUXVlc3Rpb246MTU3 - Et qui doit selon vous se charger de vous proposer ce type de solutions alternatives ?,QUXVlc3Rpb246MTU4 - Que pourrait faire la France pour faire partager ses choix en matière d'environnement au niveau européen et international ?,QUXVlc3Rpb246MTU5 - Y a-t-il d'autres points sur la transition écologique sur lesquels vous souhaiteriez vous exprimer ?,Region
0,VXNlcjo0M2MxMjU2Ny0xZTRjLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NWNmYmU1NzgtMWU0Zi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-2960,La terre pour tous,2019-01-22 15:09:42,2019-01-22 15:09:42,,False,,Citoyen / Citoyenne,97000, biodiversité disparition espèce, baisser production protéiner carnées responsable multiple pollution eau air responsable grand partie déforestation mondiale interdire produit phytosanitaires interdire huile palmer sol français essence taxer importation produire français,Oui, chaud,Oui, manger viander  an achete bio possible cher réunion achete pouvoir vrac local faire compost voisins réduire déchet, croire aller suffire, commencer faire payer entreprise polluantes foutre totalement santé gens planète total bayer monsanto ensuite citoyen plier exigence urgence climatique taxer gens comportement falloir proposer solution exemple limiter transport routier taxer essence commencer proposer transports commun qualité quantité suffisante,Non,,Non,, infirmier libéral, état devoir investir transports commun transports routier faire plaisir lobby, donner exemple foutre totalement avis, arrêter chasse proposer grand plan agriculture bio  an arrêter bétonner construire profit espace vert sensibiliser français danger viande planète taxer entreprise polluantes investir énergie polluantes arrêter pousser gens consommation financer ressourceries valoriser second main répartition objet imposer commune ramassage compost taxer industriel utiliser plastique outrance consommateur laisser choix emballage investir emballage renouvelable tendre pays déchet,Mer
1,VXNlcjo0MDc5MGFkNC0zOTBhLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NmEyNzgwMzctMzkwZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-88559,Protection de la biodiversité sur le terrain,2019-02-25 16:02:48,2019-02-25 16:05:48,,False,,Citoyen / Citoyenne,97000, lier écosystème bon état écosystème capable résilience fournir service écologiques homme besoin vivre, écosystème ordinaire exceptionnel conserver bon état superficie suffisante,Oui, vivre mer augmentation cyclone disparition espèce érosion littoral,Oui, titrer professionnel associatif personnel, existence transport commun; produire locaux limiter importation produire frais; miser placer filière tri, produire locaux chèrs produit importés; arrêter devoir acheter eau bouteille eau robinet potable;,, chauffage guadeloupe limiter usage excessif climatisation administration magazins ets obliger mettre gilet tellement froid construire bioclimatique,Non, mieux organiser transport commun navette ligner dédier horaire fixer boire bon état voir réserver pister cyclable protéger, transports commun|le vélo|navette bateau île, collectivité défaut état reprendre main, question poser inverse faire france respecter engagement européen international, question biodiversité formulaire définition conservation biodiversité rentable nature économique ainsi lieu subventionner entreprise maniérer soutenir activité souvent préjudice environnement meilleur intervention etat serair mettre argent activité économique conservation biodiversité etat intervenir monde économique justement intervenir intérêt général financer véritable rééquilibrage faire niveau budget état domaine titrer exemple personnel terrain faire police environnement gens epa epic onf dreal effectif pouvoir sortir bureau association exangues moyens gérér convenablement rnn site protétgés donner priorité action reconquête conservation sensibilisation lieu passer temps évaluer remplir tableau bord indicateur bref opérationnalité donner moyens fonctionnement structurer arrêter passe droit projet aménagement extrêmement faciliter procédure cas cas étude impact exemple dossier cas cas passer autorité environnementale guadeloupe exempter étude impact super motard meilleur exemple bis savoir scénario bis chlordécone continuer antilles dérogation renouvellées  mois planteur canner utiliser asulox herbicide retirer vente  france gouverner prévoir sembler gouverner antilles surtout acheter paix sociale,Mer
2,VXNlcjo0MGMwNzRkMS0yMDZhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MjJlZGE0MDItMjA2Yi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-20157,Energie renouvelable,2019-01-25 07:33:33,2019-01-25 07:36:26,,False,,Citoyen / Citoyenne,97000, dérèglement climatiques croire sécheresse, uliser énergie renouvelables eau vent soleil goethermie chauffer éclairer lieux publiques,Oui, disparition saison situation climatiques bcp sauvage,Oui, tri déchet contrôler consommation eau électricité prendre voiture pouvoir,, accès énergie reouveblables cher,Oui, soleil,Oui,, transports commun|le vélo, entreprise nationale gouvernement,,,Mer
3,VXNlcjo0MGNhMWIwZC0yMDdmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MThiMjZhNzktMjA4Mi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-20606,Reduction des dechets a la source,2019-01-25 10:17:54,2019-01-25 10:17:54,,False,,Citoyen / Citoyenne,97000, biodiversité disparition espèce, respecter environnement réduire dechets,Non,,Non,, typer comportement penser beaucoup influence réchauffement climatique, payer comportement respectueux environnement,Oui, falloir mode chauffage écologique prix chauffage actuel,Non,, covoiturage|les transports commun, collectivite,, falloir réduire déchet source niveau industrie supprimer suremballage revenir bouteille pot verre consigner développer achat vrac cher cher cas actuellement,Mer
4,VXNlcjo0MGVjOGUyMC0xOTU0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6M2UwNGQzODAtMWZiOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-15364,"Développer les transports en commun sur tout le territoire, y compris les DOM.",2019-01-24 10:12:58,2019-01-24 10:12:58,,False,,Citoyen / Citoyenne,97000, dérèglement climatiques croire sécheresse, favoriser énergie propre taxer pollueur eduquer population,Oui, inondation,Oui, achat bio réduction consommation limiter déchet, multiplier transports commun île réunion inexistants, idem transports commun trop chers,Non,,Non, idem transports commun  boire heure voiture obligatoire regrette sincèrement, transports commun, autorité locale région,,,Mer
5,VXNlcjo0MzYwZGI2NS0xZWY0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZjdmNmYyZmQtMWVmNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-8987,Soutien aux solutions alternatives écologiques et durable,2019-01-23 11:09:28,2019-01-23 11:09:28,,False,,Citoyen / Citoyenne,97000, biodiversité disparition espèce, classer planète vivant patrimoine mondial humanité mettre placer davantage espace naturel préserver protection développement soutenir initiative action association ong protection écosystème réglementer taxer sanctionner davantage pollueur chasser punir lourdement braconneurs,Oui, augmentation chaleur intensification phénomène météorologiques cyclone tempêter,Oui, rouler véhicule polluer consommer priorité produire localement trier déchet limiter, meilleur sensibilisation effet conséquence transports collectif adapter limitation  inutile stupide sens important rouler véhicule propre vitesse, contrôler anti pollution stricts véhicule,Non,,Non,, habiter écart dénivelé  solution déplacement voiture rêver faire parcours cheval, mairie, sensibiliser compatriote moyens politiquer diplomatiques montrer exemple, davantage soutenir subventionner installation polluantes notamment particulier taxer polluer,Mer
6,VXNlcjo0MzgyNDEwZC0yNTViLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6YzUxNGVlM2EtMjU1ZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-40793,C'EST CE QU'ON MANGE ET C'EST CE QU'ON RESPIRE QUI NOUS DONNENT DES MALADIES....,2019-01-31 14:47:37,2019-01-31 14:47:37,,False,,Citoyen / Citoyenne,97000, monde répondre concerner climat faire répéter vouloir ajouter france seule pays servir planete concerner polluer tomber malade,,,,,,,,,,,, mettre camion voiture train devoir etre tres longtemps,,,,Mer
7,VXNlcjo0NDc0YzE2Ny0xZmZlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZjJlZGEzYWItMjAwMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-18648,URGENCE,2019-01-24 19:14:54,2019-01-24 19:14:54,,False,,Citoyen / Citoyenne,97000, dérèglement climatiques croire sécheresse, aller vite transition,Oui, pollution air monter eau,Oui, maîtriser déplacement utiliser climatisation logement parcimonie changer véhiculer, transports commun gratuits fréquents, acheter véhicule électrique,Non,,Non,, transports commun|le covoiturage|l auto partage|le transport demande|le vélo, mairie communauté commune, montrer exemple, tva  véhicule électriques engagement écrire gouvernement électricité impacter tipp similaire,Mer
8,VXNlcjo0NjExNzkyOS0zODI3LTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MjU1MmY2MmQtMzgyYi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-86149,pollution de l'air et des nappes phréatiques,2019-02-24 12:55:57,2019-02-24 12:55:57,,False,,Citoyen / Citoyenne,97000, pollution air, supprimer maximum circulation poids lourd zoner habiter aider développement agriculture biologique prix accessibles,Oui, pic chaleur inondation asthme provoquer pollution air,Oui, compostage tri déchet réserver eau pluie chauffer eau solaire ventilation naturel produire ménagers écologiques limitation trajet voiturer, faire pouvoir sentir, rester changement alimentaires bio trop cher consommation produire bio malheureusement limiter,Non, concerner département outremer,Oui, développer moyens alternatifs propre installer parking extérieur zone habiter permettre laisser véhicule prendre transports commun propre travail ville avoisinantes, transports commun, etat région commune, faire bon choix faire appliquer france,,Mer
9,VXNlcjo0NmNjODY4ZS0yYjZjLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MTMwNDY4YzktMmI2ZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-58321,mada974,2019-02-08 07:52:17,2019-02-08 07:52:17,,False,,Citoyen / Citoyenne,97000, cocher  reponses, favoriser energies verte faire sortir déplacement faire transports commun favoriser travail domicile,Oui, cyclone fort intensité,Oui, mettre zen placer solution pérennes spécialiste domaine, chauffage mettre gratuitement placer station connecter régler chauffage distancer conduite faciliter achat voiturer hybrider inciter constructeur baisser prix véhiculer développer transports commun, aider financière,Oui, aider financier accès simple,Non,, transports commun|le covoiturage|l auto partage|le transport demande, référendum, faire pays nordiques,,Mer
10,VXNlcjo0ODA5OGFiMC0xZDc1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZTJmYjk0OGItMWY3ZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-14666,"Penser et taxer global, agir et consommer local",2019-01-24 03:22:24,2019-01-24 03:22:24,,False,,Citoyen / Citoyenne,97000, foi lier pollution air eau terre diminution couche ozone dérèglement climatique fonte glacier érosion littoral avancée désert diminution terre fertiles disparition biodiversité faune flore gaspillage matière premieres ressource renouvelables irradiation nucléaire contamination sol pesticide glyphosate chlordécone durée vie  an contaminer vie centaine génération futures humains chaqe problème entraine résoudre permettra résoudre, lier pollution air eau terre diminution couche ozone dérèglement climatique fonte glacier érosion littoral avancée désert diminution terre fertiles disparition biodiversité faune flore gaspillage matière première ressource renouvelables irradiation nucléaire contamination sol pesticide glyphosate chlordécone durée vie  an contaminer vie centaine génération futures humains problème entraine résoudre permettra résoudre stopper gaspillage eau énergie matière première sol agricoles politiques économique énergétique courir terme système ultralibéral profit catastrophe naturelles; passer croissance verte seule supportable planète bien devoir durables réparables recyclables garantie prolonger pièce détacher chère démographie planète mode consommation devoir adapter finitude terre consommation viander énergie fossile taux fertilité global femme inférieur  répartition équitable richesse ressource transports public chers étendre territoire seul véhiculer moteur utiliser foyer maximum prix matériel matériau subventionner lier énergie renouvelables devoir surveiller éviter abus insecte oiseau espèce végétales animales menacer disparition arrêter urbanisation construction autoroute supprimer pesticide agrandir réserve naturel parc régional développer permaculture agriculture biologique piste taxer émission carbone particule particulièrement transport maritime aérien niveau global,Oui, cyclone fréquents manquer abeille polliniser jardin océan grignoter cote sargasse envahir plage coraux mourir poisson ailleurs eau potable culture vivrières polluer chlordécone,Oui, véhiculer personnel moteur  mois année culture fruit légume permaculture compostage tri achat produire cuisiner réduction consommation viander climatisation bon ventilation recyclage récupération réparation vieux meubler appareil électroménager, chauffer conduire possible marcher santé meilleur, état devoir contrôler prix investissement lorsqu subvention crédit impôt voter état automatiquement prix produit installation augmenter autant voir panneau photovoltaïques,Non,,Oui, convaincre, transports commun|l auto partage|le vélo|le transport demande|le covoiturage|le train polluer moyens transport, état région, faire sortir accord pari appliquer état européen donner exemple respecter accord taxer importation produire venir pays respecter accord pari, investissement transition écologique devoir défiscaliser ainsi investissement sociaux nicher fiscales devoir supprimer,Mer
