"id","reference","title","createdAt","publishedAt","updatedAt","trashed","trashedStatus","authorId","authorType","authorZipCode","QUXVlc3Rpb246MTA3 - En qui faites-vous le plus confiance pour vous faire représenter dans la société et pourquoi ?","QUXVlc3Rpb246MTA4 - En dehors des élus politiques, faut-il donner un rôle plus important aux associations et aux organisations syndicales et professionnelles ?","QUXVlc3Rpb246MTA5 - Si oui, à quel type d'associations ou d'organisations ? Et avec quel rôle ?","QUXVlc3Rpb246MTEw - Que faudrait-il faire pour renouer le lien entre les citoyens et les élus qui les représentent ?","QUXVlc3Rpb246MTEx - Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :","QUXVlc3Rpb246MTEy - Pourquoi ?","QUXVlc3Rpb246MTEz - Que faudrait-il faire pour mieux représenter les différentes sensibilités politiques ?","QUXVlc3Rpb246MTE0 - Pensez-vous qu'il serait souhaitable de réduire le nombre d'élus (hors députés et sénateurs) ?","QUXVlc3Rpb246MTE1 - Si oui, lesquels ?","QUXVlc3Rpb246MTE2 - Que pensez-vous de la participation des citoyens aux élections et comment les inciter à y participer davantage ?","QUXVlc3Rpb246MTE3 - Faut-il prendre en compte le vote blanc ?","QUXVlc3Rpb246MTE4 - Si oui, de quelle manière ?","QUXVlc3Rpb246MTE5 - Que faudrait-il faire aujourd'hui pour mieux associer les citoyens aux grandes orientations et à la décision publique ? Comment mettre en place une démocratie plus participative ?","QUXVlc3Rpb246MTIw - Faut-il faciliter le déclenchement du référendum d'initiative partagée (le RIP est organisé à l'initiative de membres du Parlement soutenu par une partie du corps électoral) qui est applicable depuis 2015 ?","QUXVlc3Rpb246MTIx - Si oui, comment ?","QUXVlc3Rpb246MTIy - Que faudrait-il faire pour consulter plus directement les citoyens sur l'utilisation de l'argent public, par l'Etat et les collectivités ?","QUXVlc3Rpb246MTIz - Quel rôle nos assemblées, dont le Sénat et le Conseil économique, social et environnemental, doivent-elles jouer pour représenter nos territoires et la société civile ?","QUXVlc3Rpb246MTI0 - Faut-il les transformer ?","QUXVlc3Rpb246MTI1 - Si oui, comment ?","QUXVlc3Rpb246MTI3 - Que proposez-vous pour renforcer les principes de la laïcité dans le rapport entre l'Etat et les religions de notre pays ?","QUXVlc3Rpb246MTI4 - Comment garantir le respect par tous de la compréhension réciproque et des valeurs intangibles de la République ?","QUXVlc3Rpb246MTI5 - Que faudrait-il faire aujourd'hui pour renforcer l'engagement citoyen dans la société ?","QUXVlc3Rpb246MTMw - Quels sont les comportements civiques qu'il faut promouvoir dans notre vie quotidienne ou collective ?","QUXVlc3Rpb246MTMx - Que faudrait-il faire pour favoriser le développement de ces comportements civiques et par quels engagements concrets chacun peut-il y participer ?","QUXVlc3Rpb246MTMy - Que faudrait-il faire pour valoriser l'engagement citoyen dans les parcours de vie, dans les relations avec l'administration et les pouvoirs publics ?","QUXVlc3Rpb246MTMz - Quelles sont les incivilités les plus pénibles dans la vie quotidienne et que faudrait-il faire pour lutter contre ces incivilités ?","QUXVlc3Rpb246MTM0 - Que peuvent et doivent faire les pouvoirs publics pour répondre aux incivilités ?","QUXVlc3Rpb246MTM1 - Quel pourrait être le rôle de chacun pour faire reculer les incivilités dans la société ?","QUXVlc3Rpb246MTM2 - Quelles sont les discriminations les plus répandues dont vous êtes témoin ou victime ?","QUXVlc3Rpb246MTM3 - Que faudrait-il faire pour lutter contre ces discriminations et construire une société plus solidaire et plus tolérante ?","QUXVlc3Rpb246MTM4 - Pensez-vous qu'il faille instaurer des contreparties aux différentes allocations de solidarité ?","QUXVlc3Rpb246MTM5 - Si oui, lesquelles ?","QUXVlc3Rpb246MTQx - Que pensez-vous de la situation de l'immigration en France aujourd'hui et de la politique migratoire ? Quelles sont, selon vous, les critères à mettre en place pour définir la politique migratoire ?","QUXVlc3Rpb246MTQy - En matière d'immigration, une fois nos obligations d'asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?","QUXVlc3Rpb246MTQz - Que proposez-vous afin de répondre à ce défi qui va durer ?","QUXVlc3Rpb246MTQ0 - Quelles sont, selon vous, les modalités d'intégration les plus efficaces et les plus justes à mettre en place aujourd'hui dans la société ?","QUXVlc3Rpb246MTQ1 - Y a-t-il d'autres points sur la démocratie et la citoyenneté sur lesquels vous souhaiteriez vous exprimer ?"
"UHJvcG9zYWw6MWVjMTkxYjAtMWUyMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-2","Les augmentations de rémunérations","2019-01-22 09:38:41","2019-01-22 09:38:41",,false,,"VXNlcjo4Mjc4NzQxYS0xZTFkLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","79190","Le citoyen","Non",,,"",,,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,"Afin d’éviter de creuser les inégalités ne plus augmenter les salaires, les pensions, le point d’indice des fonctionnaires, en pourcentage mais en euros. Ainsi celui qui gagne 1,000 euros percevra la même augmentation que celui qui gagne 10,000 euros. Alors que depuis des décennies l’augmentation par pourcentage avantage les plus gros revenus : 1 % est égal à 10 euros pour le premier et à 100 euros pour le second. Au bout de 10 augmentations le second aura eu l’intégralité de la valeur du salaire du premier… C’est comme ça que depuis 40 ans le fossé se creuse"
"UHJvcG9zYWw6NTA4N2I3ZDEtMWUyMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-3","rénover l'enquête publique pour en faire un vrai outil  d'aménagement du territoire et de dialogue social","2019-01-22 09:40:04","2019-01-22 09:40:04","2019-01-22 09:41:00",false,,"VXNlcjo4OWQ3MzE5My0xZDYwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","01800","Un instrument de démocratie locale à moderniser : l’enquête publique.  Un certain nombre de grands projets d’aménagement du territoire se sont heurtés ces dernières années à une hostilité locale parfois très violente pouvant même aller jusqu’au drame : Notre-Dame des Landes, le barrage de Sylens, le projet de Roybon, la déviation de Strasbourg et autres « Zones à Défendre » moins médiatiques.  Pourtant, un instrument existe : l’enquête publique. Mais force est de constater qu’elle ne joue plus son rôle d’intermédiaire entre un apporteur de projet et la population locale. Le système des enquêtes publiques apparaît aujourd’hui sclérosé, coincé entre l’apporteur de projet, les milieux économiques, les lobbies environnementaux ou autres et, enfin, l’Etat, la Préfecture, les services déconcentrés de l’Etat, les Collectivités locales et les tribunaux administratifs. Les dossiers présentés aux enquêtes qui peuvent, parfois, peser plusieurs kilos, sont illisibles, inexploitables, incompréhensibles. Enfin, les enquêteurs publics, de plus en plus issus de la haute fonction publique, du corps des officiers supérieurs de l’armée ou de cabinets d’études environnementaux ou d’urbanisme, de notables et barons locaux, ne peuvent plus prétendre être en mesure de prendre en compte les aspirations locales. Les durées des enquêtes sont trop courtes pour avoir une influence quelconque sur le projet. Parfois même l’enquête publique arrive trop tard alors même que les concertations ont déjà été effectuées. Enfin, les dispositions du Code l’Environnement laissent aux enquêteurs publics une marge de manœuvre beaucoup trop étroite pour être efficace ; leurs avis et leurs recommandations ne sont que rarement suivis. Se souvient-on des enquêtes effectuées dans les affaires citées dans le 1er paragraphe ?   Cependant, moyennant une remise en cause en profondeur, le système des enquêtes publique pourrait être plus efficace et jouer un rôle majeur en matière d’aménagement du territoire en se faisant un intermédiaire dynamique et constructif entre les populations locales, les apporteurs de projets et les Pouvoirs publics.    On trouvera ci-dessous quelques pistes proposées pour rendre cet instrument plus efficace et en faire un vecteur essentiel du développement économique, social et culturel tout en consevant son rôle dans la protection de l’environnement.  1- L’enquête publique, un instrument d’aménagement du territoire.  •	L’enquête publique, acteur majeur de l’aménagement du territoire, doit sortir du Code de l’environnement : l’enquête publique ne concerne pas que les aspects environnementaux, même si ceux-ci sont importants, mais également les aspects économiques, sociaux, culturels, etc. Les textes régissant les enquêtes publiques ne doivent plus être rattaché au Code l’environnement mais aux textes régissant l’aménagement du territoire.  •	L’enquête publique doit concerner tout projet d’envergure : infrastructures routières, ferroviaires, canaux, ports, aéroports, industries lourdes, vastes zones d’entreposage, infrastructures sportives, grandes surfaces commerciales, etc. Seront également concernés les zonages liés à l’aménagement d’un territoire, à la protection de l’environnement et à la protection de sites protégés : créations de zones d’aménagement concerté, zones industrielles, zones de protection, SCOT, etc.   •	L’enquête publique doit aussi concerner toutes opérations nécessitant une expropriation (sans le consentement du propriétaire) ou une modification substantielle du domaine de l’Etat. Le texte devra définir un champ d’intervention de l’enquête publique suffisamment vaste mais qui ne soit un obstacle au développement de projets.  2 – L’enquête publique doit être un instrument efficace au service des partenaires concernés : apporteur de projet, population, Pouvoirs publics.  •	L’enquête publique doit commencer le plus haut possible et le plus tôt possible afin d’accompagner l’auteur du projet dans les différentes phases d’élaboration du projet. Ayant une bonne connaissance du terrain, l’enquêteur publique sera le lien entre la population, les Pouvoirs publics nationaux ou locaux et l’apporteur du projet. Bien que non technique (ou précisément parce non technique) Il sera également un partenaire entre l’apporteur de projet et  les services administratifs de l’Etat (Préfectures, DREAL etc…)  •	L’enquête publique doit être menée la finalisation du projet (autorisation, rejet, poursuite ou renoncement…). Les échanges apporteur/public/administrations pourraient grâce à l’enquêteur public être continuels et permettre, au fur et  à mesure de l’avancement du dossier, l’amélioration de celui afin de trouver dans la mesure du possible, une solution aux différents problèmes rencontrés et révélés au cours de l’enquête soit par le public, soit par l’administration.  •	Le but de l’enquête publique n’est pas, comme c’est le cas actuellement de donner simplement un avis (favorable/défavorable/favorable avec réserves) dont l’inutilité n’est plus à démontrer, mais de jouer   un rôle positif, concret et utile dans l’élaboration du projet et la finalisation de la décision par l’autorité détentrice de ce pouvoir. Le commissaire devrait avoir ainsi un rôle de « facilitateur » entre un apporteur de projet, la population locale et les pouvoirs publics.  3 – l’enquête publique un outil de démocratie locale.  •	Les commissaires enquêteurs doivent être réellement indépendants non seulement de l’administration et non, comme c’est le cas actuellement être nommés par elle (jury  départemental), mais également des différents lobbies (associations de défense environnementale ou patrimoniale, lobbies industriels et commerciaux). Ils ne pourront donc pas être fonctionnaire actif, élu, salarié ou responsable de cabinets conseils, et s’engager, bien entendu à n’avoir aucun lien ni aucun intérêt avec le demandeur.   •	Les commissaires enquêteurs seront rémunérés sur des critères clairs et fixés d’avance et non sur le bon vouloir d’un président de tribunal administratif. Le montant de cette rémunération sera public dès le début de l’enquête et payé directement par l’apporteur du projet à la fin de l’enquête.    •	Les commissaires enquêteurs doivent être organisés au niveau de chaque intercommunalité. Les Commissaires enquêteurs auront une bonne connaissance du terrain, de la mentalité de ses habitants, des usages culturels et les coutumes locales et ainsi apprécier « l’acceptabilité » d’un projet et orienter l’apporteur de projet.  •	La décision d’ouverture d’une enquête doit être la plus large possible sur la base de critères à définir : Préfet, élus locaux concernés. Mais elle pourra l’être aussi par un collège intercommunautaire des commissaires enquêteurs, voire par le public. Elle pourra l’être enfin, par l’apporteur de projet lui-même afin de légitimer son projet et mieux l’insérer dans le tissu local (une aide financière de l’Etat pourrait alors être envisagée pour les entreprises débutantes).  Les dossiers devront être évolutifs, clairs et compréhensibles par tous sans s’enfermer dans des détails souvent disponibles par ailleurs (Internet).   •	L’enquête publique pourrait se terminer par un constat écrit décrivant le déroulement de l’enquête, faisant ressortir les difficultés rencontrées et les moyens qui ont été mis en œuvre pour les résoudre, mettant en exergue les éventuelles oppositions qui se sont manifestées. Ce rapport se conclura par le constat du succès et de la mise en œuvre du projet ou au contraire par le constat d’un échec et analysera les raisons de cet échec. Ce rapport sera validé par le collège intercommunautaire des commissaires enquêteurs avant transmission aux différents acteurs (pouvoirs publics, public, etc).  Ces quelques pistes permettraient de construire un système moderne de démocratie locale au service de tous les acteurs de la vie collective.  Vaillant BIARD Ancien Commissaire Enquêteur (01) Vebe92@yahoo.fr","",,,"",,,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6ZGY2OWEyNTQtMWUyMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-4","Limitations de vitesse et sécurité routière","2019-01-22 09:44:04","2019-01-22 09:44:04",,false,,"VXNlcjowMzYyMTUyNy0xZDEyLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","44300",,"",,,"",,,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,"Nous proposons le retour à la limitation de vitesse à 80km/h sur le réseau secondaire dès le 1er juillet 2019. En effet, cette limite globale pénalise aveuglement les automobilistes (en particulier ceux n’ayant pas les moyens d’emprunter les autoroutes ou résidant loin de leur lieu de travail) et peut même générer des situations et comportements dangereux (par exemple de ne pas pouvoir dépasser un poids lourd qui gène la visibilité et provoque tension et énervement).  Néanmoins, améliorer la sécurité routière est une préoccupation citoyenne, certaines portions de route étant objectivement plus dangereuses que d'autres (largeur limitée, visibilité réduite, sinuosité...). Nous proposons que le gouvernement lance un grand plan sur la sécurité routière, honnête, pragmatique et décentralisé. Il demandera aux acteurs de terrain (maires, présidents de départements, services de secours et d’assistance etc...) de dresser une liste des tronçons locaux où les accidents graves (dommages corporels et décès) sont les plus fréquents. Cette liste sera assortie d’une proposition de limitation de vitesse appropriée (70 ou 80km/h par exemple), ainsi que des travaux de sécurisation envisageables dont voici quelques possibilités: - élargissement des voies; - pose de glissières de sécurité non dangereuses pour les motards; - léger relevage de l’extérieur des virages dangereux; - suppression pérenne des trous, fissures et nids de poules; - stabilisation des bas-côtés; - amélioration de la signalisation (visibilité des panneaux et de la signalisation au sol); - pose d’enrobé plus accrocheur aux endroits sujets aux sorties de route; - drainage de la chaussée afin d’éviter les films et flaques d’eau.  Cette liste s’appuiera sur des données historiques objectives d’accidentologie et sur le discernement sans zèle des acteurs de la concertation. Elle sera validée à temps par l’ONISR pour que les nouvelles limitations de vitesse entrent en vigueur au 1er juillet 2019 ; les travaux de sécurisation les plus judicieux étant budgétés et effectués dès que possible après cette date."
"UHJvcG9zYWw6ZTAxYjQ3ZDYtMWUyMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-5","Pour un nouveau contrat citoyen","2019-01-22 09:44:05","2019-01-22 09:44:05",,false,,"VXNlcjo4YWJlYzBmOS0xZGE3LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","29490","Voir l'intégralité de la proposition dans la dernière rubrique autres points","",,,"",,,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,"POUR UN NOUVEAU CONTRAT CITOYEN                                                                                                                                                             ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                La pression des manifestations des « gilets jaunes » a conduit le gouvernement à organiser un grand débat ouvert a tous les citoyens. Le contenu en est balisé, fractionné. Cette division en micro-revendications ou doléances n’est pas à la hauteur des enjeux. Cette révolte de citoyens dans la grande tradition française des jacqueries est un symptôme de l’impasse politique dans laquelle nos démocraties se sont enfermées à travers les imbrications d’obligations économiques et financières créées par les différents traités et règlements interdisant toute initiative politique dans ces domaines.  Il est urgent de sortir la politique de ces injonctions de gestionnaires et de lui redonner un pouvoir d’action légitimé par un contrat citoyen.   --------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                               TOUS CITOYENS                                                                            ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                Comme l’a souligné le président de la république, tout citoyen a des droits mais aussi des devoirs. Ces droits et ces devoirs sont devenus totalement illisibles avec l’accumulation des aides et des obligations parfois contradictoires mais surtout infantilisantes qui renforcent les inégalités en stigmatisant l’assistanat et en survalorisant la réussite des initiés. Car il faut bien être initié pour se retrouver dans ce maquis opaque auquel chaque législature ajoute des strates. Aujourd’hui les seuls points visibles de citoyenneté partagées sont les impôts, cotisations sociales et prestations qui réunissent l’ensemble de la population dans un sentiment d’inégalité et de recherche individuelle d’optimisation des situations personnelles.  La démocratie ne semble plus pertinente au plus grand nombre tant les politiques menées paraissent semblables malgré les alternances répétées. L’ensemble des citoyens semble cependant conscient des grands défis qui nous attendent en ce siècle de tous les dangers pour la survie de l’humanité avec au premier plan le défi écologique qui va nécessiter une mobilisation de toutes les énergies. Comment organiser cette mobilisation de manière lisible en donnant à chacun de nous les moyens d’être acteur du changement sans arrière-pensée et sans accroître les inégalités.  C’est une utopie politique et un changement radical que nous devons envisager, en s’appuyant sur un nouveau contrat citoyen constitué de trois piliers indissociables.  -------------------------------------------------------------------------------------------------                                                                                                                                                                                                                               SERVICE UNIVERSEL CITOYEN                                                              - ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                En considérant que la vie active s’étend approximativement sur une durée de cinquante ans, en gros de 16 à 65 ans, il est possible d’envisager un service universel citoyen, que l’on pourrait considérer comme un impôt temps, de 10 % soit cinq ans par citoyen, réparti sur toute la durée de la vie active par périodes de durée variable et au service des différents niveaux des collectivités. Sa mise en place serait bien sur complexe et difficile, mais les moyens techniques existent et les besoins sont innombrables. Le premier avantage en serait une réelle égalité de devoir quelle que soit la situation, le deuxième étant de recréer une visibilité de l’action politique dans le choix de l’affectation de cette ressource considérable.  ---------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                               REVENU UNIVERSEL CITOYEN                                                             - ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                En contrepartie de ce travail fourni par chaque citoyen pour la collectivité, la mise en place d’un revenu universel citoyen, permettant à chacun de vivre décemment, permettrait d’une part de remplacer une grande partie des aides existant actuellement, d’autre part de pouvoir diminuer le coût du travail pour les entreprises et associations et surtout de redonner de la liberté aux citoyens dans leur rapport au travail. Le montant de ce revenu universel pourra servir de base fiscale pour toutes les tranches de taxes et impôts permettant la mise en place d’une progressivité lisible par tous.  ----------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                               DEMOCRATIE PARTICIPATIVE UNIVERSELLE                                      - ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                               Pour la majorité des citoyens, la vie démocratique se borne au dépôt de bulletin dans l’urne à chaque échéance électorale. Il existe cependant de nombreux niveaux ou les citoyens pourraient être impliqués dans l’élaboration des politiques publiques. Sans remettre en cause de manière fondamentale nos institutions, et sur le même modèle que la participation à la justice en tant que juré, il serait possible de créer à tous les niveaux de collectivités publiques des assemblées de citoyens désignés par tirage au sort ayant droit de regard sur la définition et la mise en place des décisions politiques. L’existence d’assemblées, électives et de représentation publique par les partis politiques et autres institutions, ne serait pas remise en cause, mais serait éclairée par ces assemblées citoyennes.  ------------------------------------                                                                                                                                                                                                                               PERTINENCE                                                                                    - ----------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                Il peut sembler peu pertinent de poser ces questions dans le cadre du grand débat initié par le président Macron. C’est pourtant une redéfinition de notre rapport à la politique et à fortiori à notre place dans la société qui apparaît en creux dans la diversité du mouvement des « gilets jaunes ». C’est pourquoi en partant de revendications individuelles sur des questions de vie quotidienne ce mouvement s’est retrouvé porteur d’interrogations plus vastes et fortement politiques. Il serait regrettable que de ce mouvement ne reste plus après ce grand débat que quelques aménagements techniques et que sa portée universelle soit oubliée. Les défis qui attendent l’ensemble des nations au cours de ce siècle sont immenses et l’attente universelle pour un renouveau démocratique en est un élément fondamental. Il faut espérer que nous soyons nombreux à proposer des solutions sortant des sentiers battus et que ces propositions soient débattues."
"UHJvcG9zYWw6MGI4NWM0M2EtMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-6","Développer les démarches de budget participatif dans les collectivités et associer les citoyens dans la réalisation des projets","2019-01-22 09:45:18","2019-01-22 09:45:43",,false,,"VXNlcjo2Nzc5MjE4OC0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","94300","député, maire, moi même","Non",,"Budget participatif, possibilité d'interpeller ses élus, transparence des décisions","Une bonne chose",,,"Oui",,,"Oui",,"Des démarches de débat public (délibération) en numérique et en présentiel","",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6MjA1ZTE3MzctMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-7","proportienelle","2019-01-22 09:45:53","2019-01-22 09:45:53",,false,,"VXNlcjpmYmNjODEwNS0xZDkyLTExZTktOTRkMi1mYTE2M2VlYjExZTE=",,"26400",,"Oui",,"donner la possibiliter aux citoyens de prendre les désicions des lois et avoir une propotienelle compléte","Une mauvaise chose",,,"Non",,"bonne chose","Oui",,"REFERADUM","Oui",,"oui",,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6NGQ5N2YwMzEtMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-8","Pour plus de démocratie participative","2019-01-22 09:47:09","2019-01-22 09:47:09",,false,,"VXNlcjo5NmNhYWM4ZS0xZTIwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","27500","?","Oui","Toutes","Plus de réunions publiques en laissant vraiment la parole aux citoyens.","Une bonne chose","Les responsabilités doivent être partagées.","Une dose de vote  proportionnel.","Oui","suppression du Sénat.","Elle est trop faible car les citoyens n'y croient plus. Plus de démocratie participative pour les impliquer davantage.","Oui","Qu'il soit considéré comme un vote exprimé.","En commençant par l'échelon municipal.","Oui","?","?","?","",,,,,,,,,,,,,"",,,,,,"Développer la démocratie participative en commençant par  l’échelon municipal. Que tout projet soit soumis à la population avant d’être voté. Organiser plus de réunions publiques en laissant la parole aux habitants."
"UHJvcG9zYWw6NGVmOTIxOTgtMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-9","Transparence de la vie public","2019-01-22 09:47:11","2019-01-22 09:54:49",,false,,"VXNlcjo0ZTQxY2UxZi0xZTIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","45000",,"",,"Transparence de la vie public, tous les frais, toute utilisation de l'argent public, tout financement, tout soutien notamment lors d'un campagne présidentielle(...)  sont mis en ligne et les associations peuvent contrôler.","Une bonne chose",,,"",,,"Oui","Annulation de l'élection si plus de 25% de non votant. La république n'est pas un syndic",,"",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6NzY0MTA3MjUtMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-11","18 mois de trop....ca suffit macron","2019-01-22 09:48:17","2019-01-22 09:48:17",,false,,"VXNlcjo4MjgzZTUyNi0xZDU5LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","13920",,"",,,"",,,"",,,"",,,"",,,,"",,"que dejà macron les respecte",,,,,,,"respecter les lois",,,"dejà que l'état respecte LES LOIS","Oui","travail obligatoire","ca suffit de voir entrer en FRANCE ces gens , il faut renvoyer maun militari toute arrivée illégale...les reconduire aux frontière. macron orefère se faire prendre en photo avec des voyous qui font des doigts d'honneur à la France ou d'inviter pour la fete de la musique des rappeurs qui insultent la France ....trop c'est trop surtout avec le pact de marrakech.","OUI  mais pas 300000 comme actuellment","commencer par supprimer l'AME et interdire toute regularisation pour ceux entrés illégalement","aucune  ....retour direct hors frontière","macron est un dictateur ce débat est du gros pipeau....il sera traité comme l'affaire d'état benalla..."
"UHJvcG9zYWw6N2YwZGZlYTktMWUyMi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-12","Egalité devant les infractions routières","2019-01-22 09:48:32","2019-01-22 09:48:32",,false,,"VXNlcjowMzYyMTUyNy0xZDEyLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","44300",,"",,,"",,,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,"Nous proposons de mettre fin à la tolérance policière sur les infractions routières commises par certaines catégories de la population. En effet, il n’est pas rare que les élus, responsables politiques, gradés, acteurs, journalistes etc... n’attachent pas leur ceinture de sécurité, soient en excès de vitesse, brûlent des feux rouges sans escorte ni sirène, lorsqu’ils sont conduits en taxi ou voiture de fonction avec chauffeur. Il n’est pas acceptable pour la population générale, peu sujette à la clémence des forces de l’ordre, de voir ces comportements impunis par des policiers craignant de verbaliser « quelqu’un d’important ». Il s’agit d’encadrer plus strictement les cas où il est possible de s’affranchir du code de la route et surtout de faire respecter ces règles ; un préfet allant à une réunion n’est ni plus pressé ni moins dangereux pour autrui qu’un ouvrier devant pointer à l’heure !"
